"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
2.43410812335292e-14,-1.06613386845877,0.063,0.138,5.29661927641595e-10,"MCM3","Downregulated in Tumor"
2.46222682194037e-14,-1.11109048864642,0.075,0.154,5.35780556454225e-10,"WRN","Downregulated in Tumor"
2.4748622859823e-14,-1.31040241523618,0.045,0.111,5.38530033429748e-10,"UNKL","Downregulated in Tumor"
2.51986930939606e-14,-1.177526796379,0.058,0.131,5.48323561724583e-10,"ZNF266","Downregulated in Tumor"
2.58924308519991e-14,-1.01143939897921,0.067,0.143,5.63419295339499e-10,"TCEAL5","Downregulated in Tumor"
2.66679392153805e-14,-1.18827008743683,0.057,0.129,5.80294357326679e-10,"NAA40","Downregulated in Tumor"
3.14087456963803e-14,-1.191130523624,0.05,0.119,6.83454306353235e-10,"IPO4","Downregulated in Tumor"
3.33737865675031e-14,-1.20257454638909,0.055,0.125,7.26213595708868e-10,"STK38","Downregulated in Tumor"
3.49091073587639e-14,-1.41896323438006,0.041,0.105,7.59622176126702e-10,"TMEM150C","Downregulated in Tumor"
3.73833950324895e-14,-1.19877508397035,0.055,0.125,8.13462675906972e-10,"CDR2","Downregulated in Tumor"
4.19831273247478e-14,-1.40155030329437,0.04,0.104,9.13552850586512e-10,"PYCR3","Downregulated in Tumor"
4.25425952419244e-14,-1.10296339044184,0.06,0.133,9.25726872464274e-10,"GRK4","Downregulated in Tumor"
4.68309783768097e-14,-1.22206647342722,0.052,0.121,1.01904208947938e-09,"NCBP1","Downregulated in Tumor"
4.79720226337223e-14,-1.15327925013232,0.058,0.129,1.0438712125098e-09,"UTP20","Downregulated in Tumor"
5.57115931447491e-14,-1.11225835688929,0.059,0.131,1.21228426682974e-09,"HEATR1","Downregulated in Tumor"
